Gcar,Gtm,Date,Tm,Opp,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Double_Header,Home_Tm,WHIP,Result,Tm_Score,Opp_Score,DFS(DK),DFS(FD)
15,46,2019-05-16,MIL,PHI,8-GF,,3,2.0,0,0,0,0,1,0,0,5.11,6,23,17,4,3,4,1,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.06,0.009,.08,0.01%,1.08,8b --- 0 out a6,9b end a 8,,PHI,0.0,W,11,3,6.50,9.00
16,50,2019-05-21,MIL,CIN,8-GF,,4,2.0,1,0,0,0,4,0,0,4.40,7,32,23,7,4,3,0,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.17,0.026,.23,0.02%,1.07,8t --- 0 out d3,9t end d 3,,MIL,0.5,L,0,3,11.90,18.00
17,53,2019-05-25,MIL,PHI,6-7,,3,2.0,1,0,0,2,1,0,0,3.86,8,34,19,9,0,3,2,0,0,0,,0,0,1,1,0,6,0,0,0,0,0,0,.30,0.030,.38,0.02%,1.07,6t --- 0 out d4,7t 3 out d4,,MIL,1.5,L,2,7,4.70,9.00
18,56,2019-05-28,MIL,MIN,8-GF(8),,2,1.0,1,0,0,0,1,0,0,3.63,3,12,9,1,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,.17,0.008,.22,0.01%,0.55,8b --- 0 out d3,8b end d 3,,MIN,1.0,L,3,5,3.65,6.00
19,59,2019-06-01,MIL,PIT,12-GF(13),W(1-1),3,2.0,2,0,0,2,2,0,0,3.26,9,30,18,6,6,5,0,0,0,0,,0,0,0,0,0,7,0,0,1,1,0,0,3.44,0.232,5.22,0.21%,1.02,12b --- 0 out tie,13b end a 2,,PIT,2.0,W,12,10,10.10,24.00
20,62,2019-06-05,MIL,MIA,4-6,,3,3.0,1,1,0,1,7,0,0,2.82,10,43,28,10,7,2,1,0,0,0,,0,0,1,1,0,8,0,0,0,0,1,0,.25,0.004,.33,0.00%,0.60,4t --- 0 out d4,6t 3 out d5,,MIL,0.6666666666666666,L,3,8,19.55,30.00
21,66,2019-06-09,MIL,PIT,7-7,,3,1.0,0,0,0,1,2,0,0,2.70,4,18,11,2,4,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.82,0.059,1.26,0.06%,0.54,7t --- 0 out d1,7t 3 out d1,,MIL,1.0,W,5,2,5.65,9.00
22,68,2019-06-12,MIL,HOU,13-GF(14),W(2-1),2,2.0,1,0,0,1,3,0,0,2.49,8,32,18,7,5,2,2,1,1,0,,0,0,1,0,0,7,0,0,0,0,0,0,1.85,0.200,2.53,0.17%,1.14,13b --- 0 out tie,14b end a 3,,HOU,1.0,W,6,3,13.30,27.00
23,70,2019-06-15,MIL,SFG,5-6,,2,2.0,3,1,1,1,1,0,0,2.63,10,33,21,5,1,2,6,2,1,0,,3,3,0,0,0,7,1,0,0,0,2,0,2.40,-0.153,3.51,-0.13%,-1.17,5b 123 0 out a4,6b 3 out tie,,SFG,2.0,L,7,8,2.10,6.00
24,74,2019-06-19,MIL,SDP,3-6,,3,3.1,1,0,0,0,4,0,0,2.35,10,33,23,8,5,4,2,1,0,0,,2,0,0,1,0,10,0,0,0,0,0,0,.67,0.159,1.01,0.14%,1.95,3b 12- 2 out d2,6b 3 out d1,,SDP,0.3225806451612903,L,7,8,14.90,22.00
25,77,2019-06-22,MIL,CIN,7-7,H(1),2,1.0,0,0,0,0,1,0,0,2.27,3,11,8,1,3,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.26,0.098,1.90,0.09%,0.54,7t --- 0 out a1,7t 3 out a1,,MIL,0.0,W,6,5,4.25,6.00
26,80,2019-06-26,MIL,SEA,GS-2,L(2-2),3,2.0,4,3,3,3,4,0,0,2.94,13,64,35,9,6,1,5,4,0,0,37,,,1,0,0,10,1,2,0,0,0,0,1.09,-0.190,1.50,-0.16%,-1.93,1t start tie,2t 3 out d3,,MIL,3.5,L,2,4,2.30,9.00
27,85,2019-07-01,MIL,CIN,GS-6,,4,5.0,6,3,3,1,2,2,0,3.26,21,75,49,12,2,6,12,4,3,0,44,,,0,0,0,20,1,0,0,1,0,0,1.04,-0.137,1.71,-0.14%,-0.28,1b start tie,6b --- 0 out d2,,CIN,1.4,W,8,6,5.05,12.00
28,90,2019-07-06,MIL,PIT,GS-4,L(2-3),4,4.0,7,5,5,3,5,1,0,4.01,21,87,56,10,7,8,5,2,0,0,30,,,0,0,0,18,1,0,0,1,0,0,.86,-0.323,1.43,-0.32%,-2.97,1b start a 1,4b 3 out d3,,PIT,2.5,L,2,12,3.00,12.00
29,95,2019-07-15,MIL,ATL,GS-7,L(2-4),8,6.0,8,4,4,1,3,1,0,4.25,26,92,59,15,10,13,9,4,1,0,42,,,0,0,0,25,0,0,0,0,0,0,.82,-0.245,1.09,-0.20%,-1.80,1t start tie,7t 12- 0 out d2,,MIL,1.5,L,2,4,6.10,15.00
30,100,2019-07-20,MIL,ARI,7-8,W(3-4),4,1.1,1,0,0,0,3,0,0,4.14,5,21,15,8,3,1,1,1,0,0,,0,0,0,0,0,5,0,1,0,0,0,0,.95,-0.007,1.37,-0.01%,0.10,7b --- 0 out d1,8b --3 1 out a2,,ARI,0.9090909090909091,W,8,3,12.40,25.00
31,102,2019-07-22,MIL,CIN,7-8,,1,2.0,2,2,2,1,0,1,0,4.33,9,26,14,3,1,4,4,2,0,0,,0,0,1,0,0,8,0,0,0,0,0,0,.52,-0.162,.79,-0.15%,-0.93,7t --- 0 out d1,8t 3 out d3,,MIL,1.5,L,5,6,-1.30,0.00
32,105,2019-07-26,MIL,CHC,7-8,W(4-4),3,1.2,0,0,0,0,1,0,0,4.19,5,16,8,1,3,1,3,1,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,.60,0.077,1.06,0.08%,0.82,7t --- 1 out d2,8t 3 out d1,,MIL,0.0,W,3,2,9.75,20.00
33,108,2019-07-30,MIL,OAK,GS-5,,3,5.0,3,1,1,1,6,0,1,3.99,20,69,44,16,7,8,4,2,1,0,62,,,1,0,0,18,1,0,0,1,0,1,1.04,0.133,1.61,0.12%,1.62,1b start tie,5b 3 out d1,,OAK,0.8,L,2,3,18.25,30.00
34,113,2019-08-04,MIL,CHC,GS-5,L(4-5),4,5.0,9,4,4,1,5,2,0,4.24,24,89,59,15,11,9,9,4,0,0,37,,,0,0,0,22,0,1,0,0,0,0,.95,-0.177,1.66,-0.19%,-1.30,1b start a 1,5b 3 out d3,,CHC,2.0,L,2,7,7.25,18.00
35,118,2019-08-10,MIL,TEX,GS-6,W(5-5),5,6.0,3,1,1,1,10,1,0,4.00,23,96,63,18,17,9,3,2,0,0,71,,,0,0,0,22,0,0,0,0,0,1,.95,0.252,1.58,0.25%,2.21,1t start tie,6t 3 out a2,,MIL,0.6666666666666666,W,3,2,33.10,57.00
36,122,2019-08-16,MIL,WSN,GS-7,,5,7.0,2,1,1,2,4,0,2,3.76,27,95,62,20,7,11,8,2,2,0,71,,,2,0,0,23,1,0,0,0,0,0,1.12,0.353,2.03,0.39%,2.93,1b start tie,7b 3 out tie,,WSN,0.5714285714285714,L,1,2,18.15,30.00
37,127,2019-08-21,MIL,STL,GS-6,W(6-5),4,5.1,6,3,1,2,6,0,0,3.62,24,89,56,19,7,8,8,6,0,0,52,,,1,0,0,22,1,0,0,1,0,1,.81,-0.147,1.20,-0.13%,-1.32,1b start a 4,6b -23 1 out a2,,STL,1.5686274509803924,W,5,3,21.20,43.00
38,132,2019-08-27,MIL,STL,GS-5,,5,5.0,4,1,1,2,2,1,0,3.52,18,74,39,11,5,7,7,3,1,0,55,,,0,1,0,16,0,0,0,2,0,1,1.06,0.157,1.38,0.12%,1.67,1t start tie,5t 3 out tie,,MIL,1.2,L,3,6,9.65,18.00
39,137,2019-09-02,MIL,HOU,GS-5,,5,4.1,5,1,1,2,6,0,0,3.45,20,98,59,19,8,5,7,4,1,0,53,,,1,0,0,18,0,0,0,0,0,0,1.25,0.109,1.13,0.06%,1.12,1t start tie,5t 1-- 1 out tie,,MIL,1.707317073170732,L,2,3,15.55,28.00
40,142,2019-09-08,MIL,CHC,GS-4,,5,4.0,4,3,3,1,6,0,1,3.59,18,67,43,12,7,5,5,4,0,0,47,,,1,0,0,16,3,0,1,0,0,0,.96,-0.131,.94,-0.08%,-0.86,1t start tie,4t 3 out d2,,MIL,1.25,W,8,5,11.40,21.00
41,147,2019-09-13,MIL,STL,GS-3,L(6-6),4,3.0,4,4,4,3,5,1,0,3.84,15,79,48,16,5,3,4,3,0,0,37,,,0,1,0,12,1,0,0,0,0,0,1.10,-0.220,2.78,-0.34%,-2.45,1b start tie,3b 3 out d4,,STL,2.3333333333333335,L,0,10,4.55,12.00
42,152,2019-09-18,MIL,SDP,GS-5,L(6-7),4,5.0,3,2,2,0,5,1,0,3.83,17,70,46,13,11,7,5,2,0,0,58,,,0,1,0,17,0,0,0,0,0,0,.69,0.019,2.04,0.03%,0.67,1t start tie,5t 3 out d2,,MIL,0.6,L,1,2,15.45,24.00
43,157,2019-09-24,MIL,CIN,GS-4,,5,4.0,3,2,2,0,3,0,0,3.86,16,70,44,16,3,7,6,3,1,0,51,,,0,0,0,16,2,0,0,0,0,1,.93,0.033,.57,0.01%,0.18,1b start tie,4b 3 out a1,,CIN,0.75,W,4,2,9.20,15.00
44,162,2019-09-29,MIL,COL,GS-4,,4,4.0,1,0,0,1,5,0,0,3.72,14,48,32,9,5,4,4,1,2,0,64,,,2,0,0,12,0,0,0,0,0,0,1.02,0.243,2.58,0.37%,2.50,1b start a 2,4b 3 out a2,,COL,0.5,L,3,4,17.80,27.00
